ID_Data,ID,ILs,Cite,Temperatura_K,Critical_temperature_K,Reduced_Temperature,Pressure_kPa,MW,c(-CH3),c(-CH2-),c(-OH),c(-NH3),c(>N-),c(-P),c(-S-),cr(-CH2-),cr(=CH-),cr(=C<),cr(>N-),cr(=N-),a(-CH3),a(-CH2-),a(>CH-),a(>C<),a(-OH),a(-O-),a(-COO-),a(=O) Other,a(-NH2),a(-NH-),a(>N-),a(-CN),a(-F),a(-Cl),a(-Br),a(-P),a(-B),a(-S-),a(-SO2-),a(-Sb),Thermal_conductivity_W_mK
1,1,['1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide'],"""Thermal conductivity of ionic liquids under pressure"", Yebra, Francisco; Troncoso, Jacobo; Romani, Luis (2020) Fluid Phase Equilib. 515, 112573.",283.15,1209.164752,0.234169909,100,422.4,2,3,0,0,0,0,0,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0.1132
12,1,['1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide'],"""Thermal conductivity of ionic liquids under pressure"", Yebra, Francisco; Troncoso, Jacobo; Romani, Luis (2020) Fluid Phase Equilib. 515, 112573.",293.15,1209.164752,0.242440081,10000,422.4,2,3,0,0,0,0,0,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0.1154
13,1,['1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide'],"""Thermal conductivity of ionic liquids under pressure"", Yebra, Francisco; Troncoso, Jacobo; Romani, Luis (2020) Fluid Phase Equilib. 515, 112573.",293.15,1209.164752,0.242440081,20000,422.4,2,3,0,0,0,0,0,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0.1183
14,1,['1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide'],"""Thermal conductivity of ionic liquids under pressure"", Yebra, Francisco; Troncoso, Jacobo; Romani, Luis (2020) Fluid Phase Equilib. 515, 112573.",293.15,1209.164752,0.242440081,30000,422.4,2,3,0,0,0,0,0,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0.1194
15,1,['1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide'],"""Thermal conductivity of ionic liquids under pressure"", Yebra, Francisco; Troncoso, Jacobo; Romani, Luis (2020) Fluid Phase Equilib. 515, 112573.",293.15,1209.164752,0.242440081,40000,422.4,2,3,0,0,0,0,0,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0.1201
16,1,['1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide'],"""Thermal conductivity of ionic liquids under pressure"", Yebra, Francisco; Troncoso, Jacobo; Romani, Luis (2020) Fluid Phase Equilib. 515, 112573.",293.15,1209.164752,0.242440081,50000,422.4,2,3,0,0,0,0,0,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0.1228
17,1,['1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide'],"""Thermal conductivity of ionic liquids under pressure"", Yebra, Francisco; Troncoso, Jacobo; Romani, Luis (2020) Fluid Phase Equilib. 515, 112573.",293.15,1209.164752,0.242440081,60000,422.4,2,3,0,0,0,0,0,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0.126
18,1,['1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide'],"""Thermal conductivity of ionic liquids under pressure"", Yebra, Francisco; Troncoso, Jacobo; Romani, Luis (2020) Fluid Phase Equilib. 515, 112573.",293.15,1209.164752,0.242440081,65000,422.4,2,3,0,0,0,0,0,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0.125
19,1,['1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide'],"""Thermal conductivity of ionic liquids under pressure"", Yebra, Francisco; Troncoso, Jacobo; Romani, Luis (2020) Fluid Phase Equilib. 515, 112573.",303.15,1209.164752,0.250710252,100,422.4,2,3,0,0,0,0,0,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0.1086
20,1,['1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide'],"""Thermal conductivity of ionic liquids under pressure"", Yebra, Francisco; Troncoso, Jacobo; Romani, Luis (2020) Fluid Phase Equilib. 515, 112573.",303.15,1209.164752,0.250710252,5000,422.4,2,3,0,0,0,0,0,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0.1121
21,1,['1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide'],"""Thermal conductivity of ionic liquids under pressure"", Yebra, Francisco; Troncoso, Jacobo; Romani, Luis (2020) Fluid Phase Equilib. 515, 112573.",303.15,1209.164752,0.250710252,10000,422.4,2,3,0,0,0,0,0,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0.114
22,1,['1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide'],"""Thermal conductivity of ionic liquids under pressure"", Yebra, Francisco; Troncoso, Jacobo; Romani, Luis (2020) Fluid Phase Equilib. 515, 112573.",303.15,1209.164752,0.250710252,20000,422.4,2,3,0,0,0,0,0,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0.1152
23,1,['1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide'],"""Thermal conductivity of ionic liquids under pressure"", Yebra, Francisco; Troncoso, Jacobo; Romani, Luis (2020) Fluid Phase Equilib. 515, 112573.",303.15,1209.164752,0.250710252,30000,422.4,2,3,0,0,0,0,0,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0.1176
24,1,['1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide'],"""Thermal conductivity of ionic liquids under pressure"", Yebra, Francisco; Troncoso, Jacobo; Romani, Luis (2020) Fluid Phase Equilib. 515, 112573.",303.15,1209.164752,0.250710252,40000,422.4,2,3,0,0,0,0,0,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0.1212
25,1,['1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide'],"""Thermal conductivity of ionic liquids under pressure"", Yebra, Francisco; Troncoso, Jacobo; Romani, Luis (2020) Fluid Phase Equilib. 515, 112573.",303.15,1209.164752,0.250710252,50000,422.4,2,3,0,0,0,0,0,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0.1216
26,1,['1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide'],"""Thermal conductivity of ionic liquids under pressure"", Yebra, Francisco; Troncoso, Jacobo; Romani, Luis (2020) Fluid Phase Equilib. 515, 112573.",303.15,1209.164752,0.250710252,60000,422.4,2,3,0,0,0,0,0,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0.1224
27,1,['1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide'],"""Thermal conductivity of ionic liquids under pressure"", Yebra, Francisco; Troncoso, Jacobo; Romani, Luis (2020) Fluid Phase Equilib. 515, 112573.",303.15,1209.164752,0.250710252,65000,422.4,2,3,0,0,0,0,0,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0.125
28,1,['1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide'],"""Thermal conductivity of ionic liquids under pressure"", Yebra, Francisco; Troncoso, Jacobo; Romani, Luis (2020) Fluid Phase Equilib. 515, 112573.",313.15,1209.164752,0.258980424,100,422.4,2,3,0,0,0,0,0,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0.1055
29,1,['1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide'],"""Thermal conductivity of ionic liquids under pressure"", Yebra, Francisco; Troncoso, Jacobo; Romani, Luis (2020) Fluid Phase Equilib. 515, 112573.",313.15,1209.164752,0.258980424,5000,422.4,2,3,0,0,0,0,0,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0.1092
30,1,['1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide'],"""Thermal conductivity of ionic liquids under pressure"", Yebra, Francisco; Troncoso, Jacobo; Romani, Luis (2020) Fluid Phase Equilib. 515, 112573.",313.15,1209.164752,0.258980424,10000,422.4,2,3,0,0,0,0,0,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0.1131
31,1,['1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide'],"""Thermal conductivity of ionic liquids under pressure"", Yebra, Francisco; Troncoso, Jacobo; Romani, Luis (2020) Fluid Phase Equilib. 515, 112573.",313.15,1209.164752,0.258980424,20000,422.4,2,3,0,0,0,0,0,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0.1167
32,1,['1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide'],"""Thermal conductivity of ionic liquids under pressure"", Yebra, Francisco; Troncoso, Jacobo; Romani, Luis (2020) Fluid Phase Equilib. 515, 112573.",313.15,1209.164752,0.258980424,30000,422.4,2,3,0,0,0,0,0,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0.1182
33,1,['1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide'],"""Thermal conductivity of ionic liquids under pressure"", Yebra, Francisco; Troncoso, Jacobo; Romani, Luis (2020) Fluid Phase Equilib. 515, 112573.",313.15,1209.164752,0.258980424,40000,422.4,2,3,0,0,0,0,0,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0.1218
34,1,['1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide'],"""Thermal conductivity of ionic liquids under pressure"", Yebra, Francisco; Troncoso, Jacobo; Romani, Luis (2020) Fluid Phase Equilib. 515, 112573.",313.15,1209.164752,0.258980424,50000,422.4,2,3,0,0,0,0,0,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0.1223
35,1,['1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide'],"""Thermal conductivity of ionic liquids under pressure"", Yebra, Francisco; Troncoso, Jacobo; Romani, Luis (2020) Fluid Phase Equilib. 515, 112573.",313.15,1209.164752,0.258980424,60000,422.4,2,3,0,0,0,0,0,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0.125
36,1,['1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide'],"""Thermal conductivity of ionic liquids under pressure"", Yebra, Francisco; Troncoso, Jacobo; Romani, Luis (2020) Fluid Phase Equilib. 515, 112573.",313.15,1209.164752,0.258980424,65000,422.4,2,3,0,0,0,0,0,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0.124
37,2,['1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide'],"""Thermal conductivity of ionic liquids under pressure"", Yebra, Francisco; Troncoso, Jacobo; Romani, Luis (2020) Fluid Phase Equilib. 515, 112573.",283.15,1233.419754,0.229564995,100,436.43,2,3,0,0,0,0,0,5,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0.1128
38,2,['1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide'],"""Thermal conductivity of ionic liquids under pressure"", Yebra, Francisco; Troncoso, Jacobo; Romani, Luis (2020) Fluid Phase Equilib. 515, 112573.",283.15,1233.419754,0.229564995,5000,436.43,2,3,0,0,0,0,0,5,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0.113
39,2,['1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide'],"""Thermal conductivity of ionic liquids under pressure"", Yebra, Francisco; Troncoso, Jacobo; Romani, Luis (2020) Fluid Phase Equilib. 515, 112573.",283.15,1233.419754,0.229564995,10000,436.43,2,3,0,0,0,0,0,5,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0.1144
40,2,['1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide'],"""Thermal conductivity of ionic liquids under pressure"", Yebra, Francisco; Troncoso, Jacobo; Romani, Luis (2020) Fluid Phase Equilib. 515, 112573.",283.15,1233.419754,0.229564995,20000,436.43,2,3,0,0,0,0,0,5,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0.1163
41,2,['1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide'],"""Thermal conductivity of ionic liquids under pressure"", Yebra, Francisco; Troncoso, Jacobo; Romani, Luis (2020) Fluid Phase Equilib. 515, 112573.",283.15,1233.419754,0.229564995,30000,436.43,2,3,0,0,0,0,0,5,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0.1168
42,2,['1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide'],"""Thermal conductivity of ionic liquids under pressure"", Yebra, Francisco; Troncoso, Jacobo; Romani, Luis (2020) Fluid Phase Equilib. 515, 112573.",283.15,1233.419754,0.229564995,40000,436.43,2,3,0,0,0,0,0,5,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0.1188
43,2,['1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide'],"""Thermal conductivity of ionic liquids under pressure"", Yebra, Francisco; Troncoso, Jacobo; Romani, Luis (2020) Fluid Phase Equilib. 515, 112573.",283.15,1233.419754,0.229564995,50000,436.43,2,3,0,0,0,0,0,5,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0.1224
44,2,['1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide'],"""Thermal conductivity of ionic liquids under pressure"", Yebra, Francisco; Troncoso, Jacobo; Romani, Luis (2020) Fluid Phase Equilib. 515, 112573.",283.15,1233.419754,0.229564995,60000,436.43,2,3,0,0,0,0,0,5,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0.123
45,2,['1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide'],"""Thermal conductivity of ionic liquids under pressure"", Yebra, Francisco; Troncoso, Jacobo; Romani, Luis (2020) Fluid Phase Equilib. 515, 112573.",283.15,1233.419754,0.229564995,65000,436.43,2,3,0,0,0,0,0,5,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0.1209
46,2,['1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide'],"""Thermal conductivity of ionic liquids under pressure"", Yebra, Francisco; Troncoso, Jacobo; Romani, Luis (2020) Fluid Phase Equilib. 515, 112573.",293.15,1233.419754,0.237672535,100,436.43,2,3,0,0,0,0,0,5,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0.111
47,2,['1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide'],"""Thermal conductivity of ionic liquids under pressure"", Yebra, Francisco; Troncoso, Jacobo; Romani, Luis (2020) Fluid Phase Equilib. 515, 112573.",293.15,1233.419754,0.237672535,5000,436.43,2,3,0,0,0,0,0,5,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0.1107
48,2,['1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide'],"""Thermal conductivity of ionic liquids under pressure"", Yebra, Francisco; Troncoso, Jacobo; Romani, Luis (2020) Fluid Phase Equilib. 515, 112573.",293.15,1233.419754,0.237672535,10000,436.43,2,3,0,0,0,0,0,5,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0.1118
49,2,['1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide'],"""Thermal conductivity of ionic liquids under pressure"", Yebra, Francisco; Troncoso, Jacobo; Romani, Luis (2020) Fluid Phase Equilib. 515, 112573.",293.15,1233.419754,0.237672535,20000,436.43,2,3,0,0,0,0,0,5,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0.1151
50,2,['1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide'],"""Thermal conductivity of ionic liquids under pressure"", Yebra, Francisco; Troncoso, Jacobo; Romani, Luis (2020) Fluid Phase Equilib. 515, 112573.",293.15,1233.419754,0.237672535,30000,436.43,2,3,0,0,0,0,0,5,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0.1168
51,2,['1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide'],"""Thermal conductivity of ionic liquids under pressure"", Yebra, Francisco; Troncoso, Jacobo; Romani, Luis (2020) Fluid Phase Equilib. 515, 112573.",293.15,1233.419754,0.237672535,40000,436.43,2,3,0,0,0,0,0,5,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0.1178
52,2,['1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide'],"""Thermal conductivity of ionic liquids under pressure"", Yebra, Francisco; Troncoso, Jacobo; Romani, Luis (2020) Fluid Phase Equilib. 515, 112573.",293.15,1233.419754,0.237672535,50000,436.43,2,3,0,0,0,0,0,5,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0.1204
53,2,['1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide'],"""Thermal conductivity of ionic liquids under pressure"", Yebra, Francisco; Troncoso, Jacobo; Romani, Luis (2020) Fluid Phase Equilib. 515, 112573.",293.15,1233.419754,0.237672535,60000,436.43,2,3,0,0,0,0,0,5,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0.1215
54,2,['1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide'],"""Thermal conductivity of ionic liquids under pressure"", Yebra, Francisco; Troncoso, Jacobo; Romani, Luis (2020) Fluid Phase Equilib. 515, 112573.",293.15,1233.419754,0.237672535,65000,436.43,2,3,0,0,0,0,0,5,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0.1222
55,2,['1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide'],"""Thermal conductivity of ionic liquids under pressure"", Yebra, Francisco; Troncoso, Jacobo; Romani, Luis (2020) Fluid Phase Equilib. 515, 112573.",303.15,1233.419754,0.245780075,100,436.43,2,3,0,0,0,0,0,5,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0.1069
56,2,['1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide'],"""Thermal conductivity of ionic liquids under pressure"", Yebra, Francisco; Troncoso, Jacobo; Romani, Luis (2020) Fluid Phase Equilib. 515, 112573.",303.15,1233.419754,0.245780075,5000,436.43,2,3,0,0,0,0,0,5,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0.109
57,2,['1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide'],"""Thermal conductivity of ionic liquids under pressure"", Yebra, Francisco; Troncoso, Jacobo; Romani, Luis (2020) Fluid Phase Equilib. 515, 112573.",303.15,1233.419754,0.245780075,10000,436.43,2,3,0,0,0,0,0,5,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0.1112
58,2,['1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide'],"""Thermal conductivity of ionic liquids under pressure"", Yebra, Francisco; Troncoso, Jacobo; Romani, Luis (2020) Fluid Phase Equilib. 515, 112573.",303.15,1233.419754,0.245780075,20000,436.43,2,3,0,0,0,0,0,5,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0.1142
59,2,['1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide'],"""Thermal conductivity of ionic liquids under pressure"", Yebra, Francisco; Troncoso, Jacobo; Romani, Luis (2020) Fluid Phase Equilib. 515, 112573.",303.15,1233.419754,0.245780075,30000,436.43,2,3,0,0,0,0,0,5,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0.1164
60,2,['1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide'],"""Thermal conductivity of ionic liquids under pressure"", Yebra, Francisco; Troncoso, Jacobo; Romani, Luis (2020) Fluid Phase Equilib. 515, 112573.",303.15,1233.419754,0.245780075,40000,436.43,2,3,0,0,0,0,0,5,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0.1172
61,2,['1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide'],"""Thermal conductivity of ionic liquids under pressure"", Yebra, Francisco; Troncoso, Jacobo; Romani, Luis (2020) Fluid Phase Equilib. 515, 112573.",303.15,1233.419754,0.245780075,50000,436.43,2,3,0,0,0,0,0,5,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0.118
62,2,['1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide'],"""Thermal conductivity of ionic liquids under pressure"", Yebra, Francisco; Troncoso, Jacobo; Romani, Luis (2020) Fluid Phase Equilib. 515, 112573.",303.15,1233.419754,0.245780075,60000,436.43,2,3,0,0,0,0,0,5,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0.12
